When_,Which_of_the_following_challeng,Which_of_the_following_challe_1,Which_of_the_following_challe_2,Which_of_the_following_challe_3,Which_of_the_following_challe_4,Which_of_the_following_challe_5,Do_you_like_being_engaged_throu,Do_you_like_being_engaged_thr_1,Do_you_like_being_engaged_thr_2,What_neighborhood_do_you_live_i,What_neighborhood_do_you_live_1,Age___value,Gender___value,Education___value,Country_of_Origin,Preferred_Language,Annual_Income___value,Ballot,Locale,FID
2018-02-07T21:41:58.000Z,0,1,0,0,1,0,0,1,0,Outer Comstock,,> 60,Male,Bachelors Degree,,,"$25,000 - $34,999",,en,93
2018-02-01T14:27:37.000Z,0,1,0,0,1,0,1,0,0,Franklin Square,,19 - 42,Female,Graduate or Professional Degree,USA,English,"$75,000 - $99,999",,en,94
2018-02-15T22:27:37.000Z,0,0,1,1,0,0,0,1,0,Outer Comstock,,43 - 60,Female,Graduate or Professional Degree,,,,,en,95
2018-02-20T15:12:36.000Z,0,0,1,0,1,-1,0,0,0,Northside,,19 - 42,Female,Some College,,,,,en,96
2018-02-14T18:15:10.000Z,0,0,0,1,0,1,1,0,0,I live outside of the City,,19 - 42,Female,Graduate or Professional Degree,,,,,en,97
2018-02-02T13:05:41.000Z,0,0,0,1,0,1,1,0,0,Downtown,,19 - 42,Male,Graduate or Professional Degree,,,,,en,98
2018-02-08T20:59:31.000Z,1,0,1,0,0,0,1,0,0,I live outside of the City,,43 - 60,Male,Bachelors Degree,,,,,en,99
2018-02-10T05:22:49.000Z,1,0,0,1,0,0,1,0,0,Westcott,,19 - 42,Female,Bachelors Degree,,,"$50,000 - $74,999",,en,100
2018-01-31T17:47:43.000Z,0,1,0,0,1,0,1,0,0,Near Westside,,< 18,Female,High School or GED,Ethiopia,English,"$35,000 - $49,999",,en,101
2018-02-02T19:50:16.000Z,1,0,1,0,0,0,1,0,0,I live outside of the City,,43 - 60,Female,Associates Degree,,,"$35,000 - $49,999",,en,102
2018-02-20T15:42:40.000Z,0,1,0,0,-1,1,0,0,0,Westcott,,19 - 42,Female,Some College,Usa,English,"$15,000 - $24,999",,en,103
2018-02-07T15:35:45.000Z,1,0,0,1,0,0,1,0,0,Eastwood,,19 - 42,Male,Bachelors Degree,,,"$75,000 - $99,999",,en,104
2018-02-20T15:22:12.000Z,1,1,-1,0,0,0,0,0,0,Strathmore,,43 - 60,Female,Associates Degree,,,,,en,105
2018-02-16T00:01:42.000Z,0,1,0,0,-1,1,0,1,0,Southside,,19 - 42,Male,Bachelors Degree,,,"$25,000 - $34,999",,en,106
2018-01-31T17:33:30.000Z,1,0,0,1,0,0,1,0,0,I live outside of the City,,< 18,Male,High School or GED,Murcia,American,"$200,000 or more",,en,107
2018-01-31T17:33:32.000Z,0,0,0,1,0,1,1,0,0,Eastwood,,< 18,Male,High School or GED,America,American,"$200,000 or more",,en,108
2018-02-07T19:41:17.000Z,1,-1,1,0,0,0,1,0,0,I live outside of the City,,19 - 42,Female,Bachelors Degree,,,"$50,000 - $74,999",,en,109
2018-02-16T14:12:06.000Z,1,0,0,1,0,0,1,0,0,Southside,,> 60,Female,Some College,,,"$25,000 - $34,999",,en,110
2018-02-07T17:51:17.000Z,1,0,1,0,0,0,1,0,0,University Neighborhood,,43 - 60,Male,Graduate or Professional Degree,,,"$75,000 - $99,999",,en,111
2018-02-20T15:34:44.000Z,0,1,1,0,0,0,0,0,0,Northside,,19 - 42,Female,Some College,,,"$15,000 - $24,999",,en,112
2018-01-31T23:52:04.000Z,1,0,1,0,0,-1,1,0,0,Far Westside,,43 - 60,Female,Graduate or Professional Degree,,,,,en,113
2018-02-08T19:36:51.000Z,1,1,0,0,0,0,0,1,0,Salt Springs,,43 - 60,Female,Graduate or Professional Degree,US,English,"$35,000 - $49,999",,en,114
2018-02-20T16:13:12.000Z,0,0,0,0,1,0,0,0,0,Southside,,< 18,Female,Less than high school,,,,,en,115
2018-02-05T16:47:45.000Z,0,-1,0,1,1,0,1,0,0,I live outside of the City,,19 - 42,Male,Graduate or Professional Degree,,,,,en,116
2018-02-08T17:37:08.000Z,0,0,1,1,-1,0,1,0,0,I live outside of the City,,43 - 60,Female,Graduate or Professional Degree,USA,eNGLISH,"$35,000 - $49,999",,en,117
2018-02-14T13:49:30.000Z,1,1,0,0,0,0,1,0,0,Eastwood,,19 - 42,Female,Graduate or Professional Degree,,,,,en,118
2018-02-07T16:06:52.000Z,0,0,0,1,0,1,1,0,0,Salt Springs,,43 - 60,Male,Graduate or Professional Degree,,,"$75,000 - $99,999",,en,119
2018-02-14T22:47:47.000Z,0,1,-1,0,0,1,0,0,0,Westcott,,19 - 42,Female,Bachelors Degree,,,"$35,000 - $49,999",,en,120
2018-02-07T17:15:03.000Z,0,0,1,0,-1,1,1,0,0,Near Westside,,19 - 42,Female,Graduate or Professional Degree,,,"$15,000 - $24,999",,en,121
2018-02-20T16:14:34.000Z,1,0,0,0,1,0,0,0,0,Southside,,< 18,Male,Less than high school,,,,,en,122
2018-02-01T21:44:10.000Z,0,0,1,0,1,0,1,0,0,Eastwood,,43 - 60,Female,Graduate or Professional Degree,,,"$75,000 - $99,999",,en,123
2018-02-14T20:50:57.000Z,0,0,0,1,0,1,1,0,0,Near Eastside,,43 - 60,Female,Bachelors Degree,,,"$50,000 - $74,999",,en,124
2018-01-31T18:24:01.000Z,1,0,0,1,0,0,1,0,0,Northside,,< 18,Male,High School or GED,United States of America,English,"$35,000 - $49,999",,en,125
2018-02-07T17:22:42.000Z,1,1,0,0,0,0,1,0,0,Strathmore,,19 - 42,Female,Graduate or Professional Degree,,,"$50,000 - $74,999",,en,126
2018-02-01T22:40:10.000Z,0,0,1,0,0,0,0,0,0,Eastwood,,43 - 60,Male,Graduate or Professional Degree,,,,,en,127
2018-02-07T19:46:59.000Z,-1,0,1,0,0,1,0,1,0,Outer Comstock,,43 - 60,Female,Graduate or Professional Degree,,,"$15,000 - $24,999",,en,128
2018-02-07T18:15:40.000Z,-1,1,1,0,0,0,0,1,0,Near Westside,,43 - 60,Male,Graduate or Professional Degree,,,"$35,000 - $49,999",,en,129
2018-02-07T18:51:29.000Z,0,0,0,1,1,0,1,0,0,Eastwood,,> 60,Male,Bachelors Degree,,,"$100,000 - $149,999",,en,130
2018-02-07T17:19:41.000Z,0,-1,0,1,0,1,0,1,0,I live outside of the City,,> 60,Male,Graduate or Professional Degree,,,"$75,000 - $99,999",,en,131
2018-02-20T15:59:55.000Z,0,1,1,0,0,0,0,0,0,South Valley,,43 - 60,Female,Some College,Usa,English,"$50,000 - $74,999",,en,132
2018-02-03T18:37:47.000Z,0,1,1,-1,0,0,0,1,0,Northside,,> 60,Female,Bachelors Degree,usa,english,"$75,000 - $99,999",,en,133
2018-02-08T15:35:15.000Z,1,0,1,0,0,0,0,0,1,University Hill,,43 - 60,Female,Graduate or Professional Degree,,,"$35,000 - $49,999",,en,134
